Protein1,Protein2
Q8NFZ5,Q6PD62
P42684,O60759
Q9H0H0,P78406
Q6IQ23,P04792
O60333,Q8IYF3
Q96L92,O95714
Q9BRS2,Q00534
P49959,Q9Y3C5
P12956,Q12955
Q92887,Q9Y252
Q15058,Q03001
O15047,P35711
P04792,Q27J81
Q9NNW5,O95163
Q9NWT1,Q9NXL9
Q13233,P10721
P00558,Q86W42
P52735,Q7Z7B0
Q13617,Q9NZL4
P56945,Q9UNM6
O94967,Q8N488
P07910,Q9NZJ5
P62258,O14979
P02545,Q969G3
Q6ZMI0,P62995
P38398,P51957
O60437,O94915
Q99623,P55345
Q86UY6,O14965
Q14684,Q8N122
P49720,Q15075
Q96PK6,Q8N8U2
Q92630,Q96RY7
Q5VT25,Q9Y2X7
Q15058,Q9UKG1
Q9H4E7,O43809
Q3KQU3,Q96EA4
Q96ND0,Q14203
Q96QF0,P23508
Q5T5Y3,P49454
Q9NYY8,Q17RY0
Q8IZT6,P05783
Q9NRL3,Q9NR80
Q9UEU0,O95159
Q9Y4K3,Q3KR16
O95155,Q04637
Q9NVR5,P12004
P35527,Q8WWM7
Q8IUR7,Q86SQ7
Q9UM54,O60437
P04629,O14647
P46199,Q9H4M7
Q9HCJ0,P19419
Q9UER7,Q00341
Q9BVG8,Q6P996
Q9UM82,Q9UHV9
A0FGR8,Q14244
Q6ZTQ3,Q15006
Q13794,O95721
Q96D59,Q9H4M7
Q9UBF6,Q12968
Q6IQ23,Q7Z460
Q07065,Q8NEY1
Q9P219,Q9UQF2
Q9BW66,Q6PD62
Q15811,P52272
O14818,Q92945
Q8N4C6,O43292
O43390,Q13685
P56962,Q6P2C8
Q63ZY3,P61758
Q14684,P14373
A5PKW4,Q9H078
Q96RK0,Q13618
P09874,P27708
Q00987,O00267
Q9NVJ2,P62826
Q7KZ85,Q5H9R4
Q96L92,P07332
Q92804,Q9NWF9
O60684,Q9NQL9
Q9NQW6,Q15020
P31937,P04792
O00330,Q9UKV3
P23588,P50570
P33981,Q7Z419
Q8IWX8,Q6PGP7
Q8NEF9,Q9ULT8
O14744,Q8TEH3
P12004,Q12873
P49736,P46108
Q13148,Q12965
Q5HYK7,Q5VT52
P11274,Q05086
Q5S007,O95900
Q6KB66,O00267
Q9Y6D9,O43272
Q6PML9,O95071
P38398,Q13163
O00311,Q9Y2D4
P57078,Q9UBU8
Q9BTE0,P05783
Q13310,P55268
P61962,Q8N465
P15056,Q86UY6
Q96T52,O14641
Q9BRL6,Q53EZ4
Q9H9H4,P25786
O00560,Q15283
Q9BXB5,Q13825
Q96R06,O14828
Q92911,P53794
P51991,Q00059
Q9Y6G9,P46199
Q9UHD2,Q9NVX0
Q6W2J9,Q96T76
Q9BTD8,O43402
Q13772,Q5T5U3
Q9Y2Z4,P62258
P22061,Q9UPU9
Q8IZE3,Q6PKG0
Q9ULD2,P24539
O00559,O60285
Q13564,Q96BQ5
P04792,P57723
P62753,Q8N264
O94842,Q96T76
Q8WY36,O43586
Q8IW41,Q8NFZ5
Q70E73,Q00987
P55196,Q86YT6
O96017,Q96CA5
Q96M89,Q5VT25
Q9Y3L3,Q6PKC3
Q92911,Q01970
Q5XPI4,Q96PU5
O95478,Q8NFH4
Q75N03,Q9H4I8
P56945,Q14789
Q6ZNL6,Q6ZSC3
Q8IYB5,Q15637
Q16543,O14578
Q9UKV3,Q6PJ21
O14920,Q92878
Q00534,O15294
Q9Y2V7,A6NED2
O60921,O60313
O15360,P55209
Q99704,P61962
P62873,Q9GZT3
Q69YN4,Q14151
Q52LW3,P29590
Q96RK0,Q7L591
Q15669,Q9BYE7
Q9P1A2,Q14258
P30085,O75925
P46937,Q12986
P78527,O75385
P55072,Q14203
Q8IWA0,P62304
O94913,Q13616
Q9BX66,P62310
P23508,Q9UK96
Q9P2S5,Q96QZ7
Q9Y289,Q14498
Q5JWF2,P49257
Q5VV42,Q99675
Q7Z406,Q9UPQ9
P01213,P18074
Q15287,Q15051
Q8IXS6,Q9UQL6
Q92625,Q15811
Q6IPR3,Q14680
Q9UKK9,Q13263
Q9BZR9,Q9H967
Q92974,Q5JTH9
Q9H4M7,Q58EX7
Q9BZD4,Q9BV73
P52209,Q13322
P14678,Q9UNK0
O14777,Q9HAU0
Q9UG01,Q9UM54
P52429,Q96PY5
Q9UPS6,P51955
P31943,Q64LD2
P50613,Q53S33
Q9NQG5,Q9H992
Q92597,P50402
Q8WWF5,Q9H4B6
O14578,Q6W2J9
Q8TCJ0,Q9H2D6
O00233,P50402
Q9H2J7,Q6ZNJ1
Q86VM9,Q96CV9
Q8WU20,P08621
Q14671,P35251
Q96R06,O75923
P55072,Q8WWM7
Q15149,Q9BYD3
P33992,Q12846
Q9BY77,P61962
Q9Y6A5,P08559
P13639,Q14318
Q96EP0,Q92802
Q9H4M7,O00408
Q14258,Q9P2H3
P08574,O95900
Q9UM73,Q9HCE1
Q64LD2,Q12981
P09874,P41743
P24001,P34897
Q9HD33,P20618
O60333,Q9NP58
Q13148,P11308
P10636,Q7KZ85
Q13501,Q9NWZ3
Q66LE6,Q5JTD0
Q9P299,Q5T4D3
Q9NNX1,Q13402
Q9C0F1,Q96T58
Q9UBF6,P62873
Q96T37,O14964
Q5T5P2,P13639
O14874,Q9NVK5
P20290,O15440
Q86X27,P33991
A0MZ66,Q9NPG2
Q6ZRS2,P49757
Q86XK3,O60610
Q15427,Q9Y574
Q9NP66,P30273
Q8WV44,Q00059
Q8N0S2,Q15154
P40938,P14324
Q5T7N2,Q6ZU80
Q8IU81,P46100
Q8IXJ9,Q92614
Q9Y4X5,P19174
P35240,O43318
O15155,Q8TDR4
Q04323,Q14692
P46199,Q5W0U4
P98170,Q9UNF0
P49748,P11801
O14974,Q6UVJ0
Q9BRK4,P02489
O14578,P43034
Q9Y2S2,P50897
Q9UGY1,O94992
Q9Y6D6,Q96A19
Q9NX70,Q96AJ1
O75530,Q13094
Q13084,Q9UPT8
O95429,O94972
Q96G25,Q69YN4
Q9Y4C1,Q7Z628
Q7L4P6,Q9UL15
Q9P2A4,Q14690
Q86YC2,Q15118
Q14258,Q8IU81
Q69YQ0,Q96RK0
Q9BT25,P06733
P23588,P46108
Q14258,Q9Y3D8
Q96CS2,O95817
Q8TDW5,Q5T7N2
P41252,Q9BSM1
Q9NVC6,P25787
Q8WWM7,Q8IWX8
Q676U5,O15226
Q17RY0,O94992
Q13620,Q71SY5
Q9H977,Q9ULD6
P21860,Q9Y3F4
Q9BSJ8,Q96JH7
Q96PM5,Q86UY6
Q9P2S5,O43809
Q9Y5B9,O95714
O60493,Q8NCM8
Q16531,Q53EZ4
Q9P2E9,Q969G3
Q01804,Q14596
Q8NHQ8,O94874
P60900,O95758
O15155,Q9UJX2
Q96RK0,Q96MH6
Q13137,Q9H267
Q9P0V3,P49756
P15924,P08567
Q92911,Q12846
P55209,Q9ULR0
Q9UHW5,Q8IVW4
Q9Y282,Q15746
Q66GS9,Q02156
Q9BXG8,Q13905
P14866,Q14142
O60504,O75554
Q9P2R3,O14981
O60906,O75385
P35240,Q14258
Q9HB65,Q96CW5
Q9NVW2,Q12849
Q9P2A4,Q68DK2
Q9UHD8,Q8NI27
Q5T7N2,Q8N6Y0
Q13825,Q08379
Q6UB99,P38398
P06576,Q5VT25
Q92538,Q96QF0
Q96SU4,Q92734
Q14318,Q504U0
Q12849,Q8NB46
Q9UDY2,O75052
Q13501,Q99490
Q8TBB1,P46937
Q96GG9,Q8IZT6
P16219,P40937
Q9Y4I1,Q7L5Y9
O00443,Q13049
Q9NS91,O00472
Q9HCE7,Q9NQW6
O00443,O95801
P34913,Q5VT52
Q9BXW9,Q8IY31
P51572,Q15311
P23508,Q8NEF9
P52815,Q07666
Q9UPM8,Q6UWJ1
P33992,Q8N139
Q5JTH9,P52209
Q13286,Q9HC77
Q13618,Q9NSP4
Q9NZ71,Q9NR46
Q9NWB7,Q8IUR7
P06576,Q1L5Z9
Q9BSM1,P04629
P98082,Q14315
Q96JN8,Q9Y2J0
Q8WYQ5,Q8IWX8
P78317,Q09019
P20290,Q86UF1
P07910,Q9BW83
Q05086,Q13315
P46108,Q96E11
Q9NZ32,Q8WUA2
Q5JR59,Q6T4R5
Q9UK22,Q9H4M7
Q9BXL7,Q14690
Q9BTA9,Q9BYW2
Q92805,P61964
Q96RK0,O95235
Q9HC98,Q9NPJ6
Q08170,Q9P270
O00233,Q8NEN9
Q9Y4I1,Q8IYX3
P13569,Q9UBC1
Q86WV1,Q07065
Q8IZT6,Q14676
Q8WWW0,Q99558
P61421,Q02241
Q5JWF2,P25054
P40939,Q9UL46
Q8IWC1,P68400
P48736,O14832
P46108,Q14444
Q86VM9,Q9NXU5
Q8NEV8,P46459
Q16204,Q86TS9
O95714,Q08345
Q9NZ56,Q13501
P49590,Q96S44
Q15149,P60468
O95816,Q5XPI4
Q9Y3Q8,P25788
Q13216,P14866
P40763,O75400
P62753,Q15393
Q6ZU52,Q5JTZ9
Q8IVL0,Q9Y4Z0
Q92769,Q08945
Q7LGA3,Q6PCD5
O75027,Q3KQU3
P35249,Q8WXE9
P19525,O43929
P33992,Q8NDV7
P42858,P49736
Q53EL6,P12956
Q8N8Q3,Q13794
Q16666,P60468
O94941,Q06587
P55072,Q9NUG6
Q96A49,P52815
O00515,Q02790
Q00610,Q5M7Z0
P52429,Q96QT4
P52948,Q8N137
O95817,Q6N021
Q8IUR7,P23246
P42858,Q10567
Q676U5,Q96B97
O95159,Q9UMS4
Q6ZNL6,Q9UM73
Q14457,Q92804
Q5HYI8,Q9C073
Q9UPN3,Q14498
Q9BPZ3,Q8N5U6
P78317,O75943
Q9NRL3,Q96KB5
P42694,Q8TDY2
Q6P2Q9,Q8WUY9
P46778,A6NEM1
Q9NRI5,Q9UQC2
O43303,Q15555
P22061,Q9Y6S9
Q9NQZ6,Q9H4M7
Q01484,P78527
O14662,O14828
Q12933,P02774
Q86Y82,P07196
O94874,Q8N3X1
O60573,O60508
O00443,Q9H0A0
P28324,Q5XPI4
Q9BWF3,Q9Y2X7
Q6P2I7,O75132
Q9HCF6,P51532
Q13625,P52272
Q00987,Q99747
Q13148,Q86YC2
Q92888,Q12933
Q9NW13,P05783
Q9NQW6,P13196
Q12933,Q6ZMZ3
Q7Z6E9,O95835
P35711,Q8WV28
P61964,P51957
Q8NDI1,Q6P3X3
P42229,P55884
Q5S007,P31943
O75896,Q8WZA9
P13569,Q15669
P19338,Q04323
Q15058,O14936
Q9H4M7,Q9NZQ3
Q9BTA9,P40939
Q8IY42,Q8TDY2
Q6ZT12,P47756
Q14498,Q9NTZ6
Q9Y2I7,Q9GZT3
P22314,P11047
O15357,O00212
Q5S007,Q9ULR0
Q9NRD5,O75821
P62913,Q8N488
Q15058,Q9Y3A4
Q14247,Q68CZ6
Q13490,Q92630
Q14247,Q9NQW6
Q4G0J3,Q9UEU0
Q9Y6M1,O95347
Q9BYW2,P61221
Q8N4C6,O14976
Q8N3Y1,Q8IYE1
Q8WVV9,Q8TBB1
Q9BV68,Q07666
Q96LJ8,Q9BRS2
Q9BYM8,P05387
Q6KC79,Q9Y4R8
Q08945,P42858
Q96RG2,Q9BYE7
Q8WYQ5,Q9HAU0
Q96CW5,Q02241
Q17RD7,O00459
Q7Z2W4,Q96T52
O75533,Q9UJ41
Q96MA1,Q9Y2X0
Q6PJT7,Q02241
Q2KJY2,P29323
Q8N9N8,Q9UKV3
Q2KJY2,O60293
Q9NUQ8,Q9HAU0
Q96EH3,P50897
Q4VCS5,O14617
Q58EX7,P02649
Q7Z6Z7,Q9BRR9
Q13200,Q5T8D3
O43175,Q13427
O75530,O14513
Q5S007,Q9Y315
Q13535,Q9NYB9
P23588,P21359
P19838,Q15744
P12757,O94972
O95347,Q92667
Q9NX07,P68400
Q5S007,Q13163
O14818,P12956
Q9Y6K9,Q9HC98
Q9NQB0,Q53HL2
P42858,O00217
P51116,O00499
O15054,Q9NRL3
Q92900,P49454
Q08379,P19174
P35222,Q92963
P68400,Q7Z6E9
P53999,O95613
Q9BR77,P20290
Q9C075,Q5U5X0
P53350,Q92918
Q06546,Q15363
P37198,O75665
Q96QZ7,O43805
Q96QF0,P08621
P34897,O95271
Q8NBJ4,P11498
Q13310,Q9NNW5
O75815,P21579
P48029,Q86XK2
P78537,Q9Y3C5
Q10567,Q6P3W7
Q96AQ6,Q13098
P08708,Q12834
P41743,P31350
Q00610,P25054
P27816,Q8IWT3
Q9BYB4,Q9BWF2
P62826,P54257
O94822,Q9NRC1
Q9UBL6,P54252
O15212,O95294
Q9UPV9,Q9Y2Z4
P42695,Q96RK0
P40763,O14862
P58340,P42336
O14744,O15294
Q8WVL7,Q9P0L0
Q9GZT8,Q9Y6R9
Q9UBN7,Q9NRD5
Q8IYW5,Q9NP77
Q6VAB6,O60313
O95271,Q8IWC1
Q92783,P33241
Q8TDM6,Q68CZ6
Q86XR8,Q96JC1
Q15021,P33993
P15056,Q8NCE2
Q2NL82,P49257
Q96AJ1,P19838
Q9BW71,Q96AX1
Q9NYT0,Q9H4P4
Q8N488,Q9P2W1
Q15029,Q14671
P31943,Q99623
Q9NUQ6,P19338
Q14684,Q9NXC5
Q9NS91,Q9NQW6
Q969H0,Q9Y605
Q14999,Q16576
O00217,Q96NL6
Q92769,O15550
O43719,Q14999
Q676U5,Q96T52
Q17RD7,O75934
P04264,P19338
Q9UPS8,Q8N6Y0
Q13228,O60921
Q96NL6,Q9H4M7
O60313,Q9P2D1
P51813,Q8NFH8
Q9H8V3,Q14966
Q9NUQ6,P14866
P86452,O75382
Q07157,O14641
P19338,Q9Y2U8
Q6P2H3,O43390
Q6ZU52,P52732
Q9ULV5,P10636
Q9P0L0,Q8IVH8
P10636,O95900
O95782,Q6PID6
O95816,Q8NCY6
Q9UBE0,Q13131
Q9BZV1,P28331
Q5T1C6,Q13042
Q9H3P7,Q8IVF4
Q9BZW7,P51617
O75385,Q9H3P7
Q6P4F7,P42229
P50570,Q9UL15
Q13263,O15259
B1AJZ9,Q86TB9
P30260,Q92630
Q96EZ8,P06753
Q9UPT5,P07949
Q86SG6,Q99741
Q9BYG3,P36894
Q6ZW49,Q9UL15
Q8WUA4,Q9NXL9
P84098,Q92538
Q5T5U3,P36406
P62314,Q13131
Q9UBW8,Q8NE71
Q8TES7,Q9HAU0
Q03468,Q06587
Q9P0V3,O75934
Q86WN1,Q13322
Q9Y6E0,Q9NV58
Q9P2M7,Q969H0
P98082,Q13490
Q13618,Q5T5U3
P02489,Q4G0J3
O15020,Q13976
P14866,Q14974
Q01433,Q9P0L0
Q8N8R5,Q14258
Q15058,P46734
Q9BXA7,Q00688
Q08379,Q9NPF5
O75934,Q9NX20
Q13616,Q6VMQ6
Q5S007,O15212
Q9NXH9,O15442
Q9Y5B9,Q6RFH5
Q16671,Q8N6Y0
P52272,Q14596
Q9Y5S9,P11177
Q9HBD1,O95208
O00203,Q15653
O43639,Q9HBU9
Q8TAD8,Q96C24
Q14684,Q9UM82
O14976,Q92625
Q6ZMZ3,P04792
Q5SQN1,Q6ZNJ1
Q5T7N2,Q9BVS4
Q9UHV9,Q99816
O00257,P78559
Q99683,Q9BSJ8
Q13148,Q96B97
Q9NQU5,Q86TM6
Q9BRX9,P11308
Q9NQP4,Q53HC0
Q9BWF3,Q9NQW6
Q6IQ23,Q15811
Q13480,Q15006
O60518,Q9UGI0
Q9Y283,Q8IY63
O95235,Q9UJT2
Q13137,Q9Y6R4
Q6PJT7,P35712
Q16531,Q9H1K0
P43243,Q00597
P46940,Q14315
Q08379,Q16610
P19525,Q9BYF1
Q92900,Q13200
Q9BX63,Q96A33
P27701,Q9Y388
P42356,O14965
Q66GS9,Q9P2Y5
Q8IUH5,O43566
P23508,Q9ULK6
Q6UB99,P30679
Q9P202,P14866
Q15029,Q12846
P01375,Q9UJV3
Q9H6I2,Q6E0U4
Q9BVG8,O95429
Q8TAT6,Q8WXK1
O43660,Q9NWB7
Q8WYQ5,Q9GZS1
O14964,Q8IUX1
P35222,Q96M89
Q9HC07,Q9H8Y5
Q8NHQ1,Q92887
Q9HBD1,Q96PX1
Q6PJI9,O95478
Q15637,Q9NZJ5
Q96CW1,Q13617
Q8TCG1,Q14999
Q9UBN7,Q13564
Q5XPI4,Q10567
Q9UL03,Q13724
Q49A88,P07910
Q9Y6M1,Q9Y6D9
Q15652,Q53LP3
Q9H4M7,O75935
P62873,O75832
Q9H6E5,Q8IYI6
Q9H4M7,O95817
Q8IV36,Q8TEH3
P50402,O00471
Q7Z699,Q969X5
Q9Y5X1,Q13616
P04843,Q13098
Q9P2A4,Q7Z4H7
O15315,Q15029
O43663,Q86UR1
P25054,P09619
Q9NQW6,Q9BRX2
Q9BT78,P42773
Q9NRR6,Q8NHQ1
Q9BYM8,P78545
Q00610,P02545
P40925,P49736
Q9UBK2,P08708
Q9Y2D4,Q8TDY2
Q6P1K2,Q5S007
Q02790,P27144
Q9NNW5,Q02410
Q96EP0,O75794
Q12770,O95661
Q86X59,Q13459
Q9H0U9,Q9H583
Q9NQ48,O43747
O75530,O43795
Q5T1C6,Q9NWB7
Q13618,O60907
P09496,Q5TCZ1
Q9UKL3,Q9Y4J8
P28324,Q9UHX1
Q8NB25,Q8N0S2
Q8WXA9,P19174
Q12802,Q9H6S1
O60861,Q5XPI4
Q9BZV1,Q02156
P13639,Q12788
O14556,Q13347
P42858,P50402
Q9Y3T9,O94972
P78527,Q9Y6D9
Q5T124,Q14966
Q12933,Q9UNF0
Q9NP79,P08621
Q12788,Q9UPN3
Q9UJ41,Q9H4M7
Q15773,Q9BQG0
P04629,P61421
Q9UF11,Q8NBJ4
O14964,Q9NZQ3
Q8NFF5,Q709F0
Q8N3L3,P13693
Q8WU79,P04629
O60763,P49721
Q8WXH2,Q9BZB8
Q00987,Q9Y605
O60244,Q9Y333
Q9P2W1,O95159
P43004,P30085
Q92541,P54105
P51991,Q9Y4X5
Q9UJV3,Q16543
Q9Y230,P13639
O95347,Q06203
Q9H9L4,Q96GF1
Q15287,Q9BZF9
Q92630,Q9NZQ3
Q96T52,Q9BY77
Q8IW41,O15054
P06213,O95071
P54198,P38606
Q14203,Q86V86
O95159,Q9H0B6
Q9BT78,Q5T8D3
Q9GZT3,Q8N488
O43390,Q5HYI8
P12956,O75351
Q15029,O43609
P11362,Q5UCC4
Q6XE24,O15381
Q08623,Q8WU20
Q12873,Q8N9B5
P06576,Q96KQ4
O00559,P61978
P49756,P14373
P04792,P04843
P43405,Q14318
Q9BXW9,Q5T200
Q9H8V3,O00212
P08574,P31948
Q16610,O75771
P23497,Q8N103
P04629,Q9P219
Q00341,Q9Y2U8
Q86UP2,Q9Y570
Q05086,Q9Y285
Q8WTW4,Q8N137
Q5JSL3,Q13627
Q9H6X5,Q86TS9
P53814,Q5TZA2
P19838,O14559
Q6P2H3,P04843
P46940,Q9Y577
Q14684,Q9C0F1
Q8IZQ1,O15357
Q9NNX1,P13569
P40763,O43684
Q02410,Q6ZUS5
Q9BT92,O95071
P49591,Q9NVU0
Q504Q3,Q92804
Q86UY6,Q03468
Q6ZUJ8,O60341
Q15061,Q8TEQ6
Q15058,Q9Y4K3
O14513,P61201
Q92838,O14744
P21673,Q7Z3E1
Q4VCS5,Q15311
Q99683,Q9ULZ2
Q7Z2W4,Q99816
Q14498,Q9Y605
P47756,Q86U86
Q9UBN7,Q15392
Q92878,O94906
P12004,Q9UER7
Q13616,P49736
Q4G0J3,P50748
P54257,Q14498
Q9UPQ7,Q96ST3
Q9Y3D6,Q9P2E9
P23588,Q92973
Q53EL6,Q13263
Q9UBF8,P11310
Q8N6K7,Q8IWA0
Q8NEZ3,Q5T8D3
Q5QP82,P46940
Q96ST8,O60237
P51159,O94992
Q6XE24,Q13972
O95373,Q9BX84
P06576,Q13286
O14879,P04843
O95235,Q5XUX0
Q86UR1,P48436
Q9UJC3,P42345
Q9UHR4,O95782
Q15029,P55268
O43175,O14548
Q96I25,P46778
Q15050,Q8TBB1
O75832,P35568
P25786,Q8NC06
Q8TAL6,O43318
O00499,Q13825
Q8N5R6,Q16666
O14818,P78362
Q58WW2,Q92769
O15294,O15259
O75179,Q13200
P60900,O15078
P62306,Q14134
Q99871,P01375
Q13263,Q12933
Q9H8V3,Q12899
O95816,O43292
P04629,P12755
Q8WXD5,P62753
Q9NSE4,P20749
Q9H4M7,P02549
Q16543,P37173
Q6RW13,O43896
Q6IQ23,Q9GZT8
P53041,O76071
Q9BSJ2,P42694
Q8IYU2,Q9UGR2
Q86WA8,Q9NRL3
P35527,P54577
O95817,P46934
Q00688,P51532
Q7Z4H7,P54257
P78527,O43166
Q14999,Q9H8Y8
P31943,P40926
O75052,Q9UM73
Q494R4,Q96AJ9
Q5JS37,P35222
Q96RL7,Q86XL3
O75496,Q08945
Q08379,Q9NXD2
Q9BYN8,P25054
O00161,O95816
Q8WXE1,P56537
Q12959,Q13286
P19838,Q7Z6Z7
O43482,Q9NP81
Q07065,P28066
P58340,Q9P265
Q92945,Q8IVW4
P41212,Q9BV73
O15294,Q7Z434
Q15392,Q9C0B0
Q92804,Q9UIF3
Q8TEW0,P33981
Q96RL7,Q14789
Q9NRC1,Q9HD26
O14776,Q69YN4
P20963,Q96L92
Q4G0J3,Q9BYF1
Q9BST9,Q92925
P50402,P04264
P35222,Q8NFJ9
Q9BVN2,P36957
Q16543,Q8N9E0
P02768,Q96IV0
O14773,Q6ZRY4
O60566,Q15058
Q9Y3A4,Q9H0F5
P09874,Q9UJX5
P53367,Q16576
O95159,Q06945
Q92900,Q8WXH2
O95295,Q9UHB9
P23434,P40938
P28072,P46937
Q8N122,O43542
Q93074,P53367
P51149,Q9Y5K6
P25205,Q9NRA8
P46108,O75344
P26651,P43243
P51116,O43542
Q6KC79,Q14254
P37173,Q9HBD1
Q02241,Q96PU5
Q9NYB9,P12956
P05129,Q08426
O95817,Q9UI12
Q15831,P57737
P55209,Q13625
Q3T8J9,Q969K3
P55072,Q96DT5
Q10567,Q7Z2W4
Q9Y2T2,Q02880
Q9Y6H1,Q14565
Q969H4,P04629
Q9BZD4,Q16633
O95661,Q7Z6K3
Q86UE8,O75533
Q9UMS4,Q5T124
O43379,Q01844
Q96EZ8,Q16543
P25786,Q08289
Q9Y3A6,Q9UNX4
Q8N442,O00161
O15042,Q9P0K7
Q96LK0,Q99661
P31943,O95071
Q9NQS7,P04792
P46940,Q9Y5B0
P04792,O00459
Q15139,Q5JR59
O14645,Q9UBF6
Q9Y4F3,O14976
Q96Q15,Q15029
P53041,Q5M775
Q96EK5,Q5W0Z9
Q6IQ23,Q7Z2W4
Q9H1E3,Q14203
Q13233,Q9BTA9
Q15056,P61587
P25054,O14733
Q15758,Q5T200
Q9BSJ8,P84098
P19174,Q9P0J0
Q5T7N2,P49137
Q9BSI4,O94874
Q9NR46,Q9Y2J4
P20290,P42684
O94868,O00560
Q9P2D1,B2RTY4
O00459,Q9H0B6
Q9BQD3,Q15287
P68400,Q96JK2
P51957,Q9NR56
O15530,Q08378
P22061,O75208
Q9NZJ0,Q96PU5
O43318,Q86Y91
Q01844,Q9UK00
Q9NRC1,Q9UBQ5
Q9Y2T3,O14964
Q9UHD2,Q9BVS4
Q9BXL7,Q8NHQ1
Q53RE8,O14929
Q8TBK6,Q9NNW5
P19174,P14678
Q9Y6G9,Q9GZM8
O00217,Q13190
Q969H0,Q96JQ2
O15357,Q13042
P31943,Q96CV9
P62308,P35711
Q96S44,Q9HCS7
Q5VV42,Q6ZW31
P26368,P52298
Q13347,P35916
P68400,P17600
Q9BXY8,Q99614
Q96QF0,Q14498
Q9NTI5,Q9NNX1
Q9H8Y8,Q6W2J9
Q9BVS4,Q96EA4
Q96ST8,Q14684
Q9H3S7,O95900
Q8WWF5,Q14258
Q49A92,Q9NQ94
Q9Y230,P05166
P78314,Q9Y3C5
P49454,Q14676
Q4VCS5,Q96B97
Q92567,Q13469
P19174,Q9BYG3
O43684,Q9UFG5
P62306,P11177
O75146,Q13418
Q13418,P07949
Q69YN4,Q8NHV4
O15078,Q01484
P14866,Q6IA86
A6NHG4,Q13368
Q96B18,Q8NFC6
Q9H1P6,O43593
Q9Y446,P50402
P55196,Q96EP5
O14874,Q9BYV6
O14777,Q8NI27
O95235,Q9NWT1
Q96AX1,Q9BT17
P61978,Q9UI46
P78527,Q9C0J8
O94979,P51149
Q08289,Q9H4M7
Q6UB99,Q9UBF6
Q9BVQ7,Q9GZY8
Q9H6D7,P56945
P37173,Q8IZE3
Q13976,Q16288
Q6WCQ1,Q96P50
Q08379,P57078
O15116,Q15637
Q8IV32,Q9UQB8
Q9H8V3,O75155
P78406,Q8N684
P13995,Q9NUG6
Q9H8V3,Q9H169
Q96JN2,P16435
Q5S007,Q96EF6
Q6ZT12,Q13114
Q9H1E3,P46940
Q8TDR4,A7E2F4
Q8IUI8,P19338
Q8TAF3,Q96RK0
P21673,Q92900
Q6UB35,P60468
Q8IWX8,P25705
Q15650,Q9BX93
O75179,A2RRP1
Q14498,P25963
O15226,P46695
P61978,O14796
P11362,Q9NPJ6
Q15276,Q9H0A0
P55209,Q9Y6A5
O00459,Q5BJF6
Q9GZS0,Q9H000
Q9BTW9,P23246
Q5T7B8,Q8N8S7
O14965,P52815
Q9UJC3,Q9BXW9
Q5S007,P56537
Q14134,Q8NG06
P04792,O00161
P06753,O95835
P03950,P17600
Q9H2J7,Q5S007
P56945,A9UHW6
Q96H55,P31948
Q86X10,O43482
P68400,Q96QZ7
Q9UQL6,Q9H3U1
Q8N998,Q9UJZ1
O14746,P78317
P17152,Q9Y2R5
Q2M329,Q9BPX5
Q9BTD8,P61421
P17948,Q9UJZ1
Q9HAU0,O14981
P61218,Q92769
Q9H788,Q13523
Q9GZT6,Q16666
Q969X5,Q14247
Q96BR1,Q96GX5
P52272,Q1L5Z9
O75592,P38432
Q9BZF3,O95373
P12956,Q9NSE4
Q9UKE5,Q6PIW4
O75716,P04264
O75330,O95817
P62913,P02647
P14866,Q9NSE4
P54105,Q14134
Q03468,Q5S007
P12956,Q9NRC1
Q8NI36,Q9NRI5
Q8WXH2,Q8WX92
P41252,Q96MA1
Q5BJF6,O75175
P51149,Q15628
Q9NZN4,P00558
O94986,O43809
Q9BUH8,Q14457
Q15058,Q15051
Q9BYG3,Q93034
P40855,Q5T4F4
Q7L0Q8,O00322
P25705,P82914
Q9NVD7,Q8NEH6
Q9BYN8,Q13554
Q6ZUS5,Q9NSC5
O43379,Q9UKK3
Q9BZV1,Q8N137
P54252,Q6ZMY6
Q92466,Q13617
Q99436,Q9NX47
P04792,Q9UBL6
P27816,O94874
Q6PKG0,Q9Y295
O75116,P43243
Q9NQT8,O60285
P36776,Q6ZR37
Q9Y297,O14907
Q9UL15,Q01484
Q9UHW5,Q96GE4
P33992,Q9H0U9
O60269,P40939
Q9Y5X1,A6NCM1
P07948,O15078
O14730,Q3SY00
Q10567,Q8IX03
Q9GZT8,O95235
Q86TG7,Q13114
P06733,Q15427
P55209,Q9Y4D1
P98175,O75208
Q86US8,P09874
P42858,Q96H55
Q12933,Q9Y2L1
Q9Y2L1,P46934
P02649,P42226
O60337,P20290
Q9Y6H5,Q13352
Q14999,Q15051
Q5VT25,Q9BZV1
Q6A163,Q9UKN8
P56537,Q9NVX0
Q9H2L5,P49454
O00231,Q9UBW8
P40763,Q14432
Q13616,P78362
Q63ZY3,Q9Y272
O95487,Q03933
Q8NI27,O14974
Q96I25,P07910
P06576,Q9NP77
Q9UPT5,Q05BV3
Q8NI36,Q9NVH2
Q9H7D7,Q92989
Q9Y5N6,O75934
P08708,Q9BYV6
O95376,Q13064
Q8N568,Q96AQ6
Q9C0B0,Q9BT92
P62316,Q9UBP9
Q14258,O75116
Q14155,Q6VMQ6
Q96G75,O95661
Q9NTZ6,Q9HD33
Q13620,Q8WVV4
