Protein1,Protein2
Q12986,Q13200
Q8IUR7,Q9Y3D9
Q8WXH2,Q96QF0
O15016,Q9BRX2
O94992,P62191
O75486,Q93074
Q15746,P78527
P20618,P49721
Q13618,Q12849
Q9Y6A5,P30260
Q504Q3,P02768
Q86Y82,Q9NRW7
P08559,Q8N684
O94992,Q15907
Q9H4A3,Q9Y613
Q6IPM2,P36406
P50613,Q9NW82
Q01844,Q53HL2
P19525,P56537
Q71SY5,Q96G25
Q5S007,P49720
Q9NS91,Q2TAY7
Q07065,P43307
Q13618,Q6ZS81
Q69YN4,Q9H5K3
Q9UNK0,Q13190
O14578,Q15393
Q93034,P26368
Q68DV7,P23246
Q7Z6Z6,O75896
Q13131,P51116
P11532,Q9H6D7
P13639,P38606
P37173,P62191
P62308,P62310
Q96LU5,O75600
Q00987,P08133
P49761,Q9NWH9
Q96MW5,P42858
P12757,Q9HB07
Q8NF50,P08559
P15735,P06576
Q69YN4,Q8N4C6
P36406,Q9HB19
O43572,Q8TDC3
P35228,P17980
O95714,Q9BTT4
O43283,Q14315
O15013,Q15020
Q96H55,Q27J81
Q92538,Q9NSE4
Q86UY6,Q99426
Q9H5Z6,Q8N6Y0
Q69YN4,Q9Y6X9
P46199,P06576
Q4G0X9,Q9NRI5
Q6ZU80,Q9HCH0
Q16533,Q14134
P45973,Q9H9B1
Q13233,P61962
Q9BQG0,Q6P2Q9
Q8N465,Q969F9
Q9Y6K9,O14893
P15056,O14965
O15294,Q9BQ67
P50402,Q969F0
O14745,Q8IXS6
Q6UB99,Q63ZY3
P50402,Q8WUM0
Q69YN4,A7KAX9
Q15029,Q02880
P53041,Q15291
Q92769,Q14687
Q96E11,P49590
Q9HBL0,Q05397
Q9C0C7,P31948
P43243,Q16531
Q9HCE1,Q9ULK6
O14578,Q13724
Q9H6L4,Q6WCQ1
Q8N131,Q96L03
Q8TAD8,Q9UNX4
P60033,P02649
O60826,O15067
Q10589,Q5T0T0
P25786,Q9UQE7
Q9H4M7,Q8NHH9
P08559,Q8WW59
Q9UM54,O95782
Q93074,P25705
Q8TAL6,Q3KQU3
P61289,O75400
O00459,P43403
Q9H967,P33993
P06213,Q13480
O43752,O14654
Q8WXE1,Q9H4K1
Q9P2R3,Q96L93
Q9P1A2,Q9NZ71
Q13263,P46821
Q7Z6Z6,P31948
O94972,Q8N5R6
Q15020,Q14247
P78317,Q9BYG3
P27708,P17980
Q15669,Q9Y2H2
O43683,O95376
P04629,Q9HC35
P49257,Q9P246
Q99728,Q96I25
Q13501,P61764
Q969S9,P06576
O76071,Q8WUA2
O15155,Q9Y2U8
Q16659,Q9NVX0
Q8N2R8,O95373
P14866,Q9UI08
O43318,Q10589
Q08945,Q86VM9
P42858,P25705
Q8IZD9,P46108
Q9HCE1,P61289
O75925,P42229
P60468,Q86UP2
Q9Y4Y9,Q9Y4Z0
Q8WV44,Q9H992
P14866,P49961
P60228,O43292
P42858,P60174
Q4G0J3,P49720
Q69YN4,Q9C005
P20290,P04264
Q8IZD9,Q9HD33
Q9Y4I1,Q9Y2J0
Q14142,Q15029
Q6P2Q9,Q9NW64
Q8WWW8,P07948
Q96RK0,P50402
Q15058,P49792
Q13352,Q6UB99
P35568,O43739
Q9HC98,Q68DC2
O00189,P31751
P10636,Q16531
P25788,Q9UL46
Q13263,O94979
Q9BUJ0,Q13049
Q96PE3,P52790
Q9NP66,Q9NQZ6
A6NED2,Q99700
Q8N4C6,Q9NSV4
P09619,Q05655
Q9BZV1,Q9BZE9
P36543,O00217
Q96QT4,Q9BX84
O75553,P21860
Q7Z4S6,Q14678
P07949,P36894
Q7RTV0,Q15696
Q9NX55,O15078
O43752,Q9HD26
O14654,Q92538
Q9H000,Q86TB9
Q14999,P49792
P35228,Q9Y230
Q86VP1,Q8NCE0
Q08379,Q9UPN6
Q9H1X1,P11274
Q16666,O75400
O94992,O94906
Q03933,Q5JR59
P0C1Z6,Q13526
P38398,Q14315
P54252,Q9UL25
Q9BVG8,Q96EV8
Q9Y282,Q8WWP7
Q9Y5X1,Q96CW1
Q9BTE6,Q9H792
Q13418,Q01804
Q9C0E8,Q96JQ2
O75400,Q86US8
Q9NVC6,Q9Y2L1
O14777,O15078
Q9UJV3,Q8IZT6
Q8TEH3,Q96QZ7
P35228,Q12797
O14641,Q5T1M5
Q969H0,Q14566
Q12972,P34897
Q99436,Q92530
Q92834,P62258
Q9UK45,Q8WXD5
Q9UGY1,Q9NW13
Q9Y3L3,O43426
P25705,Q9NQZ5
Q13148,Q15269
Q96Q27,P62314
P04843,Q96A33
P31751,P11047
P33992,P23246
Q99700,O00499
Q9NQW6,Q9HCE1
Q15050,O00560
O75425,Q9H267
O94874,Q01844
Q9Y5W9,O00203
Q9BZR9,Q13490
Q12981,Q8WVM8
O60437,Q9H9F9
P27708,Q9Y230
Q68CZ1,Q5VSY0
Q9NRD5,Q9BSW7
Q9Y6E0,P62191
Q9H4M7,Q96HA7
Q9BV73,Q9HAW4
O15294,Q8N7W2
P37173,O15042
Q9Y4K3,Q9BZY9
Q99700,Q92900
Q9BRV8,Q9P219
P21359,P07949
Q8N465,Q96AD5
Q5U5Q3,Q96PK6
Q93034,P14678
Q15029,Q9H4A3
Q14258,Q92804
Q9UKE5,Q13033
Q13526,P49840
P46934,P49757
Q9H4M7,Q9H3U1
Q15637,O95429
Q9HCE1,Q9H6D7
P46937,P53367
Q99961,O43295
Q13263,P62380
Q9UK00,P49815
P45973,Q9UHQ1
Q9HCJ0,Q15025
Q86SG6,Q9H3U1
Q9HAQ2,Q96KQ4
P43307,P35606
O14773,Q9HCC0
P12956,Q9NXF1
Q96RF0,Q07889
Q9Y2V7,Q13425
Q8NFZ5,Q9BWF3
Q9BXL7,O75083
Q96S44,Q8NFH3
Q69YN4,Q92973
Q07065,O14681
Q8TE67,P48023
O76071,Q9Y4P3
P54257,Q9H0I3
Q5T8D3,Q99614
Q5SZD1,P15924
O43752,A0FGR8
Q008S8,P07196
Q96EP1,Q9H992
Q8N684,O95429
Q9GZN1,Q9Y3F4
O95072,Q13200
P51116,P04792
P08559,P49406
Q969H0,Q9BRS2
P14678,Q13137
Q9H4M7,Q6PJT7
Q9HCH5,P51159
Q12797,Q96A26
O43187,Q13148
O75694,P36542
Q155Q3,Q9NRI5
P40926,Q9GZT3
O95153,Q9NRI5
Q13315,Q9NVI1
Q8TEB7,Q9NNW5
Q9NPJ6,Q14155
O15294,Q9C0B1
P78332,Q15555
Q96DB2,Q13137
P14866,Q6YHU6
Q12873,P23246
Q9BXM7,Q14677
O43663,P49454
Q9BZV1,Q9Y3T9
Q92538,Q05682
O95661,Q9NNW5
O15016,P30291
Q5JR59,Q8TD31
Q14203,Q6ZU52
P06753,Q92882
Q13469,P49736
P46108,P43405
Q6P2Q9,P05783
Q7Z333,Q9UK41
P61221,Q16576
Q9H4M7,Q07157
P37173,Q12797
P98175,O43663
Q13620,P55199
Q5BJF6,Q8NHV4
Q13263,Q9NP77
Q6ZU80,Q9P2D0
P52272,P62314
Q5T7N2,P33992
Q9NZZ3,Q9BUL8
Q08379,Q9UQE7
P51956,P52735
Q69YN4,Q14511
Q99417,Q9UER7
P26368,P98175
P37198,P35658
P55072,P35611
Q96T52,Q9H6S0
Q3SXY8,P17152
P51617,Q9UNE7
Q9UQ80,Q96L21
Q9H3P7,Q9UBF8
O60333,Q17RD7
Q53HL2,P33981
P78317,Q13627
Q8TDR0,Q96LB3
P57078,Q8IWC1
Q63ZY3,Q3SY00
Q6PIJ6,P38398
O95376,Q8N5R6
P04629,P40926
Q5T124,P61587
P46199,P11177
O14641,Q9H0M0
Q9BTE6,P04792
Q96CV9,P12956
Q92769,P11532
Q15029,Q9H773
Q13620,P50995
Q9UJW9,Q8N6Y0
Q16288,Q8WV60
Q8WVD3,O95049
P14866,Q13075
Q93034,Q6PKG0
Q9Y572,P46940
O75694,O94901
A1A4Y4,Q676U5
P60033,O75821
Q9UBF6,Q9UEW8
O14578,Q06587
P46937,P25789
P32970,Q92538
P20963,P55072
Q99759,Q9UNE7
Q5T7B8,Q96JP2
Q9BRK4,Q8TEP8
Q66GS9,Q96KQ4
Q5SW79,Q8IYB1
Q13616,Q13263
Q2M329,Q9BYW2
Q99698,Q9NRI5
Q9NQB0,O95071
Q6IC98,Q8IYE0
O14578,P02545
Q9P2E8,Q8IZY2
Q13617,Q14974
Q96B97,Q9P270
Q15058,O75127
Q9UQC2,P20963
O75582,Q14643
O14576,Q9NQP4
Q5TCZ1,P55196
Q86UY6,P78318
Q8N3E9,Q9NS91
P18206,Q8N5D0
Q9NQW6,Q86UU1
Q9Y2J0,Q14315
Q8IUR5,P02489
P51948,Q96GF1
Q8TF76,Q14254
P42858,Q9NVX0
Q9Y4R8,Q9UK97
Q8IZU3,Q14676
Q9BZV1,Q9NZN5
P03950,P12004
Q02040,O95218
Q8IX03,P62258
Q14258,O95352
Q99683,P17980
Q53HL2,Q8IW41
Q9H4M7,A4D1E9
Q9NQW6,Q8N684
Q6XZF7,Q3MHD2
O75208,P34897
P11274,Q96GA3
Q8N7C3,Q6PIF2
Q8TCJ0,Q9NVS9
P37198,Q9ULV5
Q14999,O75127
Q9BRX2,P42858
P52815,Q96HP4
Q12904,Q96CV9
Q07065,Q9NV66
O95714,P09496
P30260,Q86Z20
O95159,Q13190
Q5S007,P49756
Q12846,Q9BRK4
Q7L2Z9,Q13190
Q9BZR9,Q9H270
Q8WVL7,Q05086
P04629,P33992
Q6ZNJ1,O95816
O60894,Q9BQS8
Q96T52,Q9BZE1
Q92667,Q99700
P05187,Q86W74
Q9BXW9,Q15363
Q9NXD2,Q9P0K7
Q12986,Q9H2W6
Q9H4M7,Q8IYB5
Q9NS91,P06753
Q14684,Q6ZRQ5
P40925,P60174
Q9GZR2,O95478
Q8N122,Q16531
O96019,P36507
Q5S007,P04843
Q9P031,O60518
Q14498,Q14566
P14866,Q2LD37
Q9HC98,Q9HC35
Q9BXF9,Q86U10
Q99784,Q9NRI5
Q8WYQ5,P78527
Q9C0F1,O75665
Q96A44,P29323
Q8N4C6,Q9NZ32
P31943,Q96IZ0
Q86VM9,P61964
P20936,P52209
O15169,Q9H6S0
O75582,P24539
O60437,P28072
Q92538,Q63ZY3
Q9BWF2,P19338
Q8N9B8,B2RTY4
Q8N8X9,Q9BRK4
Q02241,Q7Z6Z7
Q9H204,Q6P2C8
Q9NRR6,Q8TCG2
Q8NHG8,Q8NB46
Q8WV22,Q13228
Q8WUY9,P49796
P35222,Q9BX66
P07332,P11274
P04629,Q99567
O14949,Q00059
Q16659,Q8WX92
Q969H0,O60341
Q86VM9,P52298
Q6ZVK8,O95544
Q02790,O14832
P49257,Q13347
Q5XUX0,P35222
Q9UPS6,P24928
Q9BRK4,Q8NEV8
Q96MA6,P33993
Q15746,Q9Y4I1
Q9H4M7,Q96LB3
Q8TEH3,O43166
Q5JTZ9,Q5T440
Q676U5,Q9UQ80
Q8N6Y0,Q96CS2
Q9P2Y5,Q99570
Q8IUH5,Q9BWG6
Q8TEW0,Q9Y4J8
Q15669,Q96QT4
P38398,Q96KN7
O75553,Q8TBK6
O15259,P46940
P14866,O94812
Q9H4M7,O14929
P57740,Q14974
Q14247,O94992
P09619,O60921
Q9UPS6,Q15291
P23508,Q9Y2J4
P55072,Q16560
P13569,Q92945
O75558,Q96CS2
P42566,O43747
P49840,Q9UKV3
P19174,P10636
P07910,P36915
Q12873,Q12788
Q12988,Q9UJY1
Q8N0Z3,Q9C0F1
O60244,Q709F0
Q96AJ1,O95721
Q9Y230,O94763
Q00653,Q9BYH8
Q13286,A0FGR8
Q86VM9,P53999
Q99615,Q5GLZ8
Q8N6Y0,Q8IYX3
Q9UK22,Q8NHP8
Q4G0J3,Q9BYN8
Q8WU79,Q9UPR3
Q9H6S1,A7MCY6
O95235,Q15751
P19838,Q96RQ3
Q9BWU1,Q5T1M5
Q5T1A1,Q13438
Q9NR31,Q9UNK0
Q13616,P25705
Q92769,Q96RQ3
O96017,Q14152
P02545,Q8NFW8
Q96G01,P05166
Q13616,P60174
Q8N4C6,Q15051
Q9HBD1,O95782
Q14142,P07910
P54257,Q16512
Q14596,O00541
Q5S007,Q14315
Q16531,Q7Z569
P37173,O43318
P38432,O95758
Q69YN4,Q9BSJ8
O14733,O14617
P61962,Q5SW79
O76071,Q86WJ1
Q86YS3,Q5M775
Q9H0H0,Q9H4E7
Q86UY6,Q9UMS4
Q9BUL8,Q9NRL3
Q13131,P43243
O95159,O75410
P14324,P30260
Q15058,P19338
Q6VMQ6,P29590
O75935,Q13671
Q86Y82,Q12981
Q16512,P61964
Q96KS9,Q14244
Q676U5,Q13724
Q8TB24,Q15149
Q9H8V3,Q8WUM4
P36957,Q02040
P78317,P04792
Q96ST8,P52306
Q52M75,P19338
Q9H8V3,Q8N9T8
Q7Z7L1,Q9P0K7
P38398,P52701
Q9Y6K9,P41252
Q96PU8,Q9Y6N9
P49736,Q5T1M5
Q15058,Q709F0
Q92630,Q07157
P13569,Q12929
P13569,Q00610
P31943,O15143
P46108,O43281
Q9NR80,P56537
Q6YHU6,Q9BVC4
Q9UBN7,P35638
Q14999,P19338
P12956,Q9NW82
Q9Y3D9,Q13823
Q9H967,Q02218
Q9UM82,Q9BVG8
P56945,O15269
P28331,Q7L311
Q9P2D1,P51532
Q93034,P31483
P34897,P53041
Q14258,Q70E73
P14866,Q9NW82
Q15058,Q70UQ0
Q8TAD8,Q9BZJ0
Q08623,A7KAX9
Q9UNK0,Q16880
Q8TCJ0,Q5BJF6
Q9Y3D6,A2RRP1
O60285,O60237
Q8TEC5,Q92636
P50150,P62873
Q14999,P14866
P19838,O75832
O75116,O75716
Q16671,Q9NV66
P51116,Q8NFZ5
P78406,Q9NXC5
Q9H3R5,Q8NAV2
P41743,Q13625
Q9UJU6,P42858
P30566,O76041
P51159,Q9BPX5
Q49AR2,Q9Y2W2
O95140,P49720
O95071,Q8WUA2
P49257,Q9UNE7
Q13315,P13693
O60504,Q9H9E3
P05129,O14641
Q4VCS5,Q8TDM6
P60468,O15260
Q9BXM7,Q14498
O15155,O60313
Q13418,Q14498
Q92667,O00232
Q7Z7L1,P46821
Q9UHD2,O95071
P26368,P34897
Q6UX04,Q9UBU8
O94992,Q9Y2R5
Q9BZZ5,P61978
Q969H0,O60645
Q9UQC2,Q96QF0
P43243,O43390
O95661,Q96QT4
P46108,P10721
P51572,O00461
P51116,Q9UBU8
O60437,O95271
P61221,Q9Y3F4
Q6P2Q9,Q2TAY7
Q9NQW6,Q02880
O15259,Q9NUG6
Q86Y13,O95429
Q8WTS1,O60240
Q96RK0,Q9UQE7
Q13263,Q9UJZ1
P14866,A1IGU5
P55072,Q14999
P02649,Q6PID6
Q9Y6I3,O95782
Q02241,P61978
Q8TEQ6,P62314
Q8NBT2,Q96T76
P55010,P43034
P20290,Q99959
Q9UM82,Q9UNH7
P53804,Q6VMQ6
O95714,Q9Y2D8
Q8IWT3,Q5TB30
O14907,P25054
P78362,Q14966
Q15051,Q7Z5J8
P14866,Q15149
Q9HCH5,Q8NDC4
P13693,P49959
Q9UJX2,Q9UBW8
O14578,Q8NF91
O14578,Q14008
Q9UPT5,Q8IYI6
Q6NVH7,O14556
Q9UM73,Q15746
P43246,P40763
Q6IPM2,P14373
Q99501,Q9Y5K6
Q9BQ67,P50402
P49736,O60313
P11274,Q27J81
P80217,O94927
O94992,P35527
P61587,O75052
Q13615,Q8N122
Q32NC0,Q9UJU6
Q12955,Q9GZM8
Q14999,P27708
Q5JTZ9,Q8IYQ7
Q9HC77,Q9BVS4
O75791,Q8TD31
Q9H8V3,P47756
Q9H2L5,Q8IY31
O15169,O43639
P38432,Q6PD62
A2RRP1,P04792
O75031,Q8TBB0
P25789,P25963
P49720,Q9Y2T2
Q5S007,O75934
Q9UK32,Q9H254
Q2KHN1,Q13427
Q13501,Q38SD2
Q8TDR4,Q8IWJ2
Q8TEK3,P52272
O75208,P49748
P60033,Q9NP58
Q969H0,P14866
O75694,Q8WXH0
Q15723,Q9H9B1
Q9BYV6,Q9H147
Q92614,Q27J81
Q9NPF5,P55327
P42694,P42229
Q9NRZ9,P12956
Q99728,P49756
Q15058,Q9BZC7
Q96RK0,Q969Y2
Q7Z7B0,Q15154
Q02241,Q13064
Q14498,O60341
Q8TEP8,Q8NHV4
Q96QF0,Q16512
Q15058,Q13515
Q13438,Q16787
Q8IZD9,Q14511
O00212,Q96A49
Q02241,Q66GS9
O14777,O15213
Q92667,Q5T8D3
Q9BYF1,Q14676
Q8N137,Q9HCH0
Q9BQA1,Q13310
Q92614,O94875
Q8N9N8,O14936
P36776,P48047
P02545,O75355
Q5T7N2,P62995
Q70UQ0,Q9NYB9
O43909,P46108
O15016,Q8NDV7
Q9UBU8,Q70UQ0
Q02241,Q9BRZ2
Q96NL6,P10636
Q8IXZ2,Q8WXA9
P31943,P19419
P11308,Q14980
P40763,O43609
Q8TAP6,P46778
Q9H0E2,Q14204
Q9P2E9,Q53EZ4
Q8NB16,Q13546
P54252,Q16363
Q9GZT6,P28331
Q9UHA4,O94826
Q8NFC6,Q9NYZ3
P32929,O94979
Q9HCE1,Q969R2
O60683,O00623
P51617,O94885
Q9BYN8,O14979
Q6NSJ2,Q9HCH0
Q8IUH3,P62316
P49840,Q00613
Q08379,Q13835
Q8N4C6,Q96M89
P30260,P35222
Q9P2S5,P25205
P36507,Q9UL15
P49790,Q92973
P52815,O75521
Q8NFH3,Q13148
P38398,Q9Y4B4
Q14247,O60763
Q9UGI0,Q9BRP4
Q8N157,Q9P2S5
Q6ZN54,Q6XUX3
P61587,Q9Y4I1
O14578,Q9HD33
Q96SN8,Q00610
O14578,Q9H6S0
P05455,Q9UQE7
Q69YN4,Q8NEM0
Q7Z434,O14920
O75787,P38606
Q9Y2D8,Q9BT25
P35568,P11274
Q08170,O75494
Q14498,Q15427
Q99961,A5D8V6
Q13438,O75460
Q96J01,Q6I9Y2
Q7L0Q8,Q13425
Q8TAP6,Q92674
Q96KS9,Q5VT25
Q9UFG5,Q6PJ69
Q9Y3D6,Q9HAD4
Q05519,O14776
Q2TAC2,Q9BXY8
Q9BXW9,Q14151
P13569,P20618
A6NK89,O14641
O75970,Q9NS87
Q96R06,O60293
Q15058,Q9BZF9
Q15029,Q99961
Q9Y5B0,P20585
Q13501,Q16288
Q6YHU6,Q8N6Y0
Q9UNM6,O00231
P36957,Q07157
P14373,Q9UBL6
Q92630,Q8NB46
P20290,P46778
Q9H5N1,Q96QT4
Q9BXW9,Q6P2Q9
Q9H4M7,Q96S44
P14866,Q96DR7
Q86UK5,P31948
Q9HC77,Q99550
Q9UHF5,P05387
Q9UQL6,P55072
Q9HCE1,Q14807
P40926,Q9Y2Z4
Q13233,Q8WVD5
Q13620,P61978
Q86VM9,Q9UPT8
Q96A37,O94941
Q9HBD1,P26368
Q9Y6H1,Q68CZ6
Q69YN4,Q6ZRS2
Q96PU5,P07949
O75600,O14874
Q96RF0,Q676U5
Q9BXW9,Q13148
Q92574,Q96H12
Q8WWF5,Q86Y07
Q99623,Q9NSE4
P21860,Q9HCE7
Q9NVN8,O14746
Q9NVX0,O14828
Q8N7W2,P98175
Q9BQ24,Q9UJX3
Q9BQ52,O95816
P46940,Q5T5U3
O75208,Q9Y3D6
O14578,O43175
P43243,Q7Z2W4
P02649,P13639
Q15287,Q16630
Q9NZ43,O43390
P37198,Q9UPN9
Q9NX47,Q14789
Q9H074,Q9Y3X0
P04629,P62995
Q13823,Q07157
Q9Y6M1,Q9NRI5
O94822,O00763
Q9HCE1,Q7Z4S6
A1E959,Q9H0E2
P49761,O00560
O76081,Q9BTE6
Q8N7W2,Q92530
P61964,Q04637
Q9BVN2,O75603
Q9BRK4,Q9P2M7
P62304,Q15020
O75791,Q2TAA8
P55072,Q14980
Q8N5V2,Q9ULW0
Q9NPF5,Q9H0B6
Q9Y2V7,Q9Y4K3
Q9NVR5,Q01484
Q9UPN9,Q92947
Q92769,Q9Y446
Q9H4M7,Q8WUM4
P40855,P01574
Q6ZNE5,Q7L590
O60313,P24001
Q02156,Q14289
Q9UNY4,O15381
Q9H7L9,P28370
O43752,O75052
Q14289,P07948
Q8NFD2,P31948
Q9H4M7,Q96PU5
Q99615,Q4ZG55
P08621,Q71RC2
P29590,O43255
O15294,P26368
P05129,Q9UQ80
Q6UXN9,P98175
Q9NS91,P35250
Q5S007,Q9NQU5
P26441,Q9NTZ6
Q96PU4,Q9Y5B9
Q00987,P14866
Q93034,Q16531
Q6IQ23,Q14764
O14508,Q9H3P7
O00459,Q8TC29
Q9Y275,O95373
P14866,Q92636
Q5HY92,Q8IWX8
P12271,O15357
Q14318,Q9NZJ5
P38398,P40925
O95159,Q13439
P37173,P42338
O75385,O95361
Q13007,Q14457
Q8TAL6,Q14680
Q9BXL7,Q96EP0
P51532,Q15831
Q8NI35,O94827
O75558,Q9BRV8
Q02241,Q99972
A6NDK9,P49840
Q8N960,Q96M89
Q32MZ4,Q9Y3R0
O96019,Q15637
P12004,Q13554
Q9Y5B0,P40938
Q9UL15,P47756
P46199,P09543
Q9C0F1,Q7Z4H7
Q8NCE2,Q8NFF5
Q9HBD1,Q9GZR2
O00443,Q02790
Q8N488,P62995
Q12933,Q8IYX8
O95817,P28070
O14578,O14979
O14965,O75330
Q96CV9,P25705
Q15669,O75616
Q9UM54,Q96GA3
Q9BVS4,P20042
Q6PJ69,Q9BYM8
Q9NTJ5,Q12770
Q68CZ2,Q13418
Q9UQL6,P55199
Q9NS56,P29590
Q12873,O95232
P13569,P49736
P0C1Z6,O00628
Q9NX95,Q6Q0C0
P28331,P36776
Q9H8V3,Q8WWM7
Q9NS91,Q5T200
O43303,Q96JN8
Q9H4M7,P61221
Q96MT8,Q9BRK4
Q9NV31,P46100
O95159,Q658Y4
Q14155,Q9BYB0
P36776,Q5T1C6
Q15831,Q9UNE7
Q15051,Q13011
Q13469,Q96EZ8
Q15029,Q14204
Q4G0J3,Q8IXM3
P08621,Q9UHX1
P02768,P35527
Q5S007,P52701
Q13459,Q9Y6D6
Q9NXH9,O76031
Q9BVK6,Q9NVF7
Q9UQL6,P33991
P02545,P78406
P35222,Q86SQ0
P51116,Q92615
Q7Z699,Q9H270
Q8NHQ1,Q8TDW5
P20618,O14818
Q8IV63,P62826
P30291,Q9HC98
Q9NQB0,Q86UP2
Q5VU43,A9UHW6
Q9Y2D8,Q3SY00
Q01974,Q15038
O43502,O43543
O95858,P57105
Q32NC0,Q9UKG1
P49736,O94826
P78314,P10721
Q5XPI4,Q8NDW8
O94992,P55884
Q9Y252,O75558
P55072,P60900
P51532,Q969G3
O15294,Q9GZR2
P61289,Q9BYE7
Q96PM5,Q9NS91
Q9BXA7,Q9HB71
Q01844,Q8IYW5
Q12802,P49590
P50402,Q12846
P31943,Q9Y237
Q96A44,Q92974
Q96L92,P06727
P51116,O43390
Q13501,Q9UPQ9
P51617,O43353
Q8NI27,Q13769
O94868,Q8NEH6
Q15118,Q32P41
Q86YR7,Q00534
Q05519,Q8WXA9
Q5S007,P51570
P04629,Q86UP2
O75347,P58546
P02647,Q9NX55
Q9NS91,Q99816
Q9H8V3,O75592
Q14684,Q15021
Q96MT1,Q99996
Q13616,P06733
O75400,P42858
Q6P2Q9,Q9NTJ3
P61587,Q9NX20
O75530,Q16531
Q96G25,P62875
Q16666,Q9NP81
O43379,Q7Z6J0
P42566,Q9NSY1
P35222,Q92769
Q96CV9,P54577
Q9UBN7,Q14203
Q9BYN8,P27144
Q9BYF1,Q9UNE7
Q8WXW3,Q92619
O76071,O75449
P03950,P46821
P53999,Q9Y2L1
Q9H4M7,Q9NRG9
P49703,Q9Y675
Q9HBD1,Q9BYG3
Q3B820,P38398
Q92615,Q6PKG0
Q13057,P49915
Q13009,P04843
O94972,O75665
P20290,Q9Y446
Q9UQE7,Q96T37
Q15393,Q9UQE7
O60566,P30260
Q9H5N1,Q8TEP8
P46199,Q9NYY8
Q86YT6,Q9NRZ9
Q00610,Q6XUX3
Q96LK0,Q14690
Q13526,Q9HC98
Q9BXM7,Q9NTJ3
Q96CW1,Q96D71
Q13418,Q9NTJ3
Q14315,Q8WUM0
P06733,P33316
Q69YN4,P62191
Q69YN4,Q9HBD1
Q9BRS2,Q8N684
Q8WXH0,Q9UH99
Q9H4M7,Q6PGP7
Q76N32,P56545
Q9Y2M0,Q9HCD5
Q7Z4K8,P51948
O94874,Q9NW13
Q9UKT4,Q99661
O15294,P98170
Q9H0M0,P24928
Q13164,Q01804
Q92805,Q8IUD2
P08559,P11182
Q9P2S5,Q6UB35
Q14258,Q9UPZ3
Q969S9,Q9NYY8
P61289,Q99436
Q5T7N2,Q9BYD3
P07196,Q9NRI5
P42704,O43390
P50897,P55209
Q2KHN1,O15226
P50570,Q9NX07
Q2KHN1,P42696
P78362,P05387
Q8N488,Q86UP2
Q9H992,Q7Z419
Q8TBK6,Q8TBB1
Q9NQP4,Q9H173
Q96CV9,Q96H55
Q7L0Q8,O14936
Q14457,Q14687
Q15334,O14579
Q9BYV6,O75925
Q9H8V3,P12956
Q86WT1,Q9P2H3
P35240,Q15831
O43482,Q7Z4H7
Q13387,P46734
Q9BYD3,O75494
Q99549,Q14980
P55345,Q9UHV9
O15155,Q15645
O14578,Q9UL46
O14746,Q96KB5
Q96RK0,P60228
P49736,O43318
O75694,Q6ZS30
P35222,P07949
Q92769,Q96CW5
O43765,Q5GAN6
P55072,P22830
Q9BVK6,O60551
Q8N205,O95159
P56545,P33993
P21673,Q96I25
Q01844,Q92804
Q13368,Q502X0
O15155,Q9UNH7
Q15154,Q16513
Q12986,P13639
O95758,P62913
P49257,Q16543
Q13526,Q53EZ4
P04629,Q9UBE0
Q4G0J3,O60759
Q5S007,Q7Z6E9
Q96T76,Q15269
P51116,Q9GZT8
Q01844,P62316
O43663,P07196
P18859,A0PK00
O75031,O00560
P29590,Q08999
Q15058,Q14254
O95159,O15020
Q9HBD1,Q6PKG0
P0C1Z6,Q9H4B6
Q9H4M7,O75323
Q9UK00,Q9UPT5
P20290,P07910
Q01970,O43426
Q9Y230,Q9Y4R8
Q15058,Q9BX66
P38398,Q5T447
O15357,Q9NQ66
Q00537,Q9BSK4
Q69YN4,Q8WWI1
P11177,P25705
O60573,Q9HAU0
Q99700,P31948
P52732,Q13347
Q8IZU3,Q16543
Q14457,O76094
Q86WV1,Q9GZS1
Q9UPN9,P12755
Q7L0Q8,Q3SXY8
O00203,Q5VSY0
Q99728,Q13228
O96033,Q9NUQ8
A6NEM1,Q969G3
O15016,Q9NNW5
Q8IU68,Q12933
O95714,Q9UJC3
O14578,Q8N4C6
Q8WXA9,P62314
Q13627,P49815
O43572,P31948
Q676U5,Q14008
Q14999,Q14254
Q96AQ6,Q8IUS5
P09619,Q13480
Q9H4M7,Q9Y5J1
Q15051,O76083
Q15669,O14654
P29597,P04792
P26368,Q08170
P10745,Q9UJX2
P49736,Q14258
P42229,Q9UHQ1
P23508,Q86V48
P42695,O43402
Q12849,Q9UNX4
P78318,Q14155
Q92575,Q709C8
Q6PIJ6,O95071
P57078,P12004
Q02241,Q07065
O15016,O94822
O14578,A7KAX9
Q13237,Q15746
Q69YN4,O94906
O95235,Q9C0C7
P50402,Q8NDV7
Q13501,Q9Y295
P06733,Q8N5U6
Q13033,Q96KB5
O43683,O14777
P46199,P18859
Q9Y3Z3,P23588
Q13415,Q8TEK3
O95503,Q9BSM1
P46940,P30622
P46778,P08708
Q92882,Q8N5R6
Q7Z2W4,Q9H6S0
Q6PHR2,Q16543
P46937,P53621
Q9ULJ6,P38398
O15054,P78406
O75530,A6NHR9
Q9H4M7,Q96RP9
Q969X5,Q9P0L0
P31943,Q9Y2X0
Q69YN4,O15042
Q9BTE6,Q9GZT8
Q8N3E9,O15047
Q9BZD4,Q86UP2
